scenario,rate_per_second,repeat,ordinal,status_code,classification,elapsed_ms
progression,20,2,73,200,success,3.263
progression,20,2,74,200,success,3.892
progression,20,2,75,200,success,3.902
progression,20,2,76,200,success,4.003
progression,20,2,77,200,success,3.888
progression,20,2,78,200,success,3.704
progression,20,2,79,200,success,3.766
progression,20,2,80,200,success,3.384
progression,20,2,81,200,success,3.380
progression,20,2,82,200,success,3.316
progression,20,2,83,200,success,4.014
progression,20,2,84,200,success,3.265
progression,20,2,85,200,success,3.908
progression,20,2,86,200,success,3.330
progression,20,2,87,200,success,3.970
progression,20,2,88,200,success,3.316
progression,20,2,89,200,success,4.021
progression,20,2,90,200,success,3.412
progression,20,2,91,200,success,3.222
progression,20,2,92,200,success,3.423
progression,20,2,93,200,success,3.283
progression,20,2,94,200,success,4.258
progression,20,2,95,200,success,3.635
progression,20,2,96,200,success,3.409
progression,20,2,97,200,success,3.412
progression,20,2,98,200,success,3.617
progression,20,2,99,200,success,3.947
progression,20,2,100,200,success,3.551
progression,20,2,101,200,success,3.539
progression,20,2,102,200,success,4.170
progression,20,2,103,200,success,4.170
progression,20,2,104,200,success,3.249
progression,20,2,105,200,success,3.696
progression,20,2,106,200,success,3.696
progression,20,2,107,200,success,3.265
progression,20,2,108,200,success,3.691
progression,20,2,109,200,success,3.303
progression,20,2,110,200,success,3.302
progression,20,2,111,200,success,3.760
progression,20,2,112,200,success,3.228
progression,20,2,113,200,success,3.220
progression,20,2,114,200,success,9.078
progression,20,2,115,200,success,4.110
progression,20,2,116,200,success,3.241
progression,20,2,117,200,success,3.213
progression,20,2,118,200,success,3.149
progression,20,2,119,200,success,3.147
progression,20,2,120,200,success,4.370
progression,20,2,121,200,success,3.590
progression,20,2,122,200,success,3.800
progression,20,2,123,200,success,3.906
progression,20,2,124,200,success,4.350
progression,20,2,125,200,success,3.637
progression,20,2,126,200,success,3.766
progression,20,2,127,200,success,3.925
progression,20,2,128,200,success,3.349
progression,20,2,129,200,success,3.823
progression,20,2,130,200,success,3.643
progression,20,2,131,200,success,3.752
progression,20,2,132,200,success,3.614
progression,20,2,133,200,success,3.810
progression,20,2,134,200,success,3.459
progression,20,2,135,200,success,3.135
progression,20,2,136,200,success,3.122
progression,20,2,137,200,success,3.102
progression,20,2,138,200,success,3.063
progression,20,2,139,200,success,4.016
progression,20,2,140,200,success,4.551
progression,20,2,141,200,success,4.733
progression,20,2,142,200,success,4.537
progression,20,2,143,200,success,4.500
progression,20,2,144,200,success,4.535
progression,20,2,145,200,success,3.972
progression,20,2,146,200,success,3.978
progression,20,2,147,200,success,3.978
progression,20,2,148,200,success,3.967
progression,20,2,149,200,success,4.237
progression,20,2,150,200,success,3.886
progression,20,2,151,200,success,3.882
progression,20,2,152,200,success,3.872
progression,20,2,153,200,success,3.856
progression,20,2,154,200,success,3.841
progression,20,2,155,200,success,3.236
progression,20,2,156,200,success,3.220
progression,20,2,157,200,success,3.211
progression,20,2,158,200,success,3.179
progression,20,2,159,200,success,3.158
progression,20,2,160,200,success,3.888
progression,20,2,161,200,success,3.584
progression,20,2,162,200,success,3.584
progression,20,2,163,200,success,3.241
progression,20,2,164,200,success,3.704
progression,20,2,165,200,success,3.702
progression,20,2,166,200,success,3.535
progression,20,2,167,200,success,3.535
progression,20,2,168,200,success,3.827
progression,20,2,169,200,success,3.100
progression,20,2,170,200,success,3.083
progression,20,2,171,200,success,3.667
progression,20,2,172,200,success,3.133
progression,20,2,173,200,success,3.089
progression,20,2,174,200,success,3.024
progression,20,2,175,200,success,3.667
progression,20,2,176,200,success,3.667
progression,20,2,177,200,success,3.270
progression,20,2,178,200,success,3.027
progression,20,2,179,200,success,2.994
progression,20,2,180,200,success,3.247
progression,20,2,181,200,success,3.771
progression,20,2,182,200,success,3.183
progression,20,2,183,200,success,3.643
progression,20,2,184,200,success,3.631
progression,20,2,185,200,success,3.474
progression,20,2,186,200,success,3.480
progression,20,2,187,200,success,3.753
progression,20,2,188,200,success,3.184
progression,20,2,189,200,success,3.938
progression,20,2,190,200,success,3.216
progression,20,2,191,200,success,3.907
progression,20,2,192,200,success,3.287
progression,20,2,193,200,success,3.730
progression,20,2,194,200,success,3.495
progression,20,2,195,200,success,2.984
progression,20,2,196,200,success,3.818
progression,20,2,197,200,success,3.099
progression,20,2,198,200,success,3.790
progression,20,2,199,200,success,3.274
progression,20,3,0,200,success,24.113
progression,20,3,1,200,success,21.379
progression,20,3,2,200,success,4.842
progression,20,3,3,200,success,4.838
progression,20,3,4,200,success,3.627
progression,20,3,5,200,success,4.714
progression,20,3,6,200,success,4.468
progression,20,3,7,200,success,3.450
progression,20,3,8,200,success,4.572
progression,20,3,9,200,success,4.560
progression,20,3,10,200,success,4.213
progression,20,3,11,200,success,3.335
progression,20,3,12,200,success,3.697
progression,20,3,13,200,success,3.213
progression,20,3,14,200,success,4.182
progression,20,3,15,200,success,3.899
progression,20,3,16,200,success,3.595
progression,20,3,17,200,success,4.501
progression,20,3,18,200,success,3.882
progression,20,3,19,200,success,3.564
progression,20,3,20,200,success,3.285
progression,20,3,21,200,success,4.155
progression,20,3,22,200,success,4.013
progression,20,3,23,200,success,3.285
progression,20,3,24,200,success,3.890
progression,20,3,25,200,success,3.473
progression,20,3,26,200,success,4.391
progression,20,3,27,200,success,3.762
progression,20,3,28,200,success,3.044
progression,20,3,29,200,success,3.832
progression,20,3,30,200,success,4.246
progression,20,3,31,200,success,3.400
progression,20,3,32,200,success,4.240
progression,20,3,33,200,success,3.184
progression,20,3,34,200,success,4.174
progression,20,3,35,200,success,3.607
progression,20,3,36,200,success,4.406
progression,20,3,37,200,success,3.884
progression,20,3,38,200,success,3.123
progression,20,3,39,200,success,3.392
progression,20,3,40,200,success,5.115
progression,20,3,41,200,success,3.770
progression,20,3,42,200,success,10.788
progression,20,3,43,200,success,3.991
progression,20,3,44,200,success,3.106
progression,20,3,45,200,success,3.289
progression,20,3,46,200,success,3.478
progression,20,3,47,200,success,3.478
progression,20,3,48,200,success,3.464
progression,20,3,49,200,success,3.131
progression,20,3,50,200,success,3.604
progression,20,3,51,200,success,3.600
progression,20,3,52,200,success,4.734
progression,20,3,53,200,success,3.509
progression,20,3,54,200,success,3.729
progression,20,3,55,200,success,3.609
progression,20,3,56,200,success,4.308
progression,20,3,57,200,success,4.303
progression,20,3,58,200,success,3.247
progression,20,3,59,200,success,4.017
progression,20,3,60,200,success,3.974
progression,20,3,61,200,success,3.747
progression,20,3,62,200,success,3.342
progression,20,3,63,200,success,3.292
progression,20,3,64,200,success,4.223
progression,20,3,65,200,success,3.347
progression,20,3,66,200,success,3.668
progression,20,3,67,200,success,3.800
progression,20,3,68,200,success,3.264
progression,20,3,69,200,success,4.800
progression,20,3,70,200,success,4.799
progression,20,3,71,200,success,3.166
progression,20,3,72,200,success,3.149
progression,20,3,73,200,success,3.283
progression,20,3,74,200,success,4.016
progression,20,3,75,200,success,4.016
progression,20,3,76,200,success,2.787
progression,20,3,77,200,success,3.918
progression,20,3,78,200,success,3.889
progression,20,3,79,200,success,3.872
progression,20,3,80,200,success,3.949
progression,20,3,81,200,success,3.376
progression,20,3,82,200,success,3.092
progression,20,3,83,200,success,3.786
progression,20,3,84,200,success,3.209
progression,20,3,85,200,success,4.023
progression,20,3,86,200,success,3.287
progression,20,3,87,200,success,4.358
progression,20,3,88,200,success,3.448
progression,20,3,89,200,success,4.261
progression,20,3,90,200,success,3.243
progression,20,3,91,200,success,4.236
progression,20,3,92,200,success,3.475
progression,20,3,93,200,success,3.332
progression,20,3,94,200,success,3.445
progression,20,3,95,200,success,3.011
progression,20,3,96,200,success,3.531
progression,20,3,97,200,success,3.317
progression,20,3,98,200,success,3.306
progression,20,3,99,200,success,3.805
progression,20,3,100,200,success,3.267
progression,20,3,101,200,success,3.267
progression,20,3,102,200,success,3.425
progression,20,3,103,200,success,3.384
progression,20,3,104,200,success,3.223
progression,20,3,105,200,success,3.815
progression,20,3,106,200,success,3.476
progression,20,3,107,200,success,3.439
progression,20,3,108,200,success,3.712
progression,20,3,109,200,success,3.662
progression,20,3,110,200,success,3.647
progression,20,3,111,200,success,3.088
progression,20,3,112,200,success,3.351
progression,20,3,113,200,success,3.409
progression,20,3,114,200,success,3.103
progression,20,3,115,200,success,4.325
progression,20,3,116,200,success,4.323
progression,20,3,117,200,success,4.323
progression,20,3,118,200,success,3.601
progression,20,3,119,200,success,3.582
progression,20,3,120,200,success,3.854
progression,20,3,121,200,success,4.163
progression,20,3,122,200,success,3.050
progression,20,3,123,200,success,3.667
progression,20,3,124,200,success,3.118
progression,20,3,125,200,success,3.723
progression,20,3,126,200,success,3.457
progression,20,3,127,200,success,8.446
progression,20,3,128,200,success,3.423
progression,20,3,129,200,success,3.891
progression,20,3,130,200,success,4.274
progression,20,3,131,200,success,3.294
progression,20,3,132,200,success,3.681
progression,20,3,133,200,success,3.438
